frame,id,cx,cy,w,h
150,100,429,64,13,14
151,100,432,41,14,15
152,100,285,164,14,13
153,100,139,287,29,8
154,100,144,290,5,4
155,100,114,320,16,16
156,100,84,350,16,16
157,100,54,380,16,16
158,100,24,410,16,16
159,100,-6,440,16,16
160,100,192,220,16,16
161,100,306,95,14,4
162,100,385,58,16,16
163,100,464,22,16,14
164,100,464,46,14,15
165,100,466,68,13,13
166,100,467,88,12,13
167,100,467,103,12,12
168,100,467,116,13,11
169,100,465,126,12,12
170,100,463,134,12,13
171,100,461,142,11,13
172,100,460,148,12,13
173,100,458,155,11,13
174,100,457,161,11,13
175,100,455,167,11,14
176,100,455,167,11,14
177,100,452,174,10,13
178,100,441,192,5,8
179,100,438,197,16,16
180,100,433,207,16,16
181,100,428,216,16,16
182,100,423,225,16,16
183,100,418,235,16,16
184,100,413,244,16,16
185,100,385,101,5,6
186,100,373,96,10,17
187,100,372,100,10,34
188,100,435,198,9,14
189,100,439,187,9,12
190,100,447,173,9,12
191,100,465,195,16,16
192,100,410,89,9,5
193,100,409,73,16,16
194,100,401,45,16,16
195,100,393,17,16,16
196,100,385,-10,16,16
197,100,414,3,26,9
198,100,413,-17,16,16
199,100,412,-36,16,16
200,100,412,-55,16,16
201,100,412,-74,16,16
202,100,412,-93,16,16
203,100,411,-112,16,16
204,100,424,2,16,6
205,100,425,2,17,7
206,100,426,2,17,7
207,100,426,2,17,7
208,100,426,2,17,6
209,100,426,2,18,7
210,100,426,3,33,9
211,100,427,3,33,10
212,100,427,3,33,11
213,100,427,3,33,11
214,100,427,4,31,13
215,100,427,4,16,16
216,100,427,4,16,16
217,100,427,4,16,16
218,100,427,5,16,16
219,100,427,5,16,16
220,100,452,70,6,4
221,100,477,135,11,10
222,100,460,150,9,9
223,100,449,151,10,13
224,100,438,143,11,14
225,100,429,129,11,14
226,100,425,111,12,14
227,100,422,94,12,15
228,100,419,81,10,12
229,100,415,76,11,13
230,100,413,76,11,13
231,100,411,81,11,13
232,100,411,81,11,13
233,100,409,91,10,13
234,100,407,116,10,14
235,100,407,128,10,14
236,100,407,137,9,14
237,100,406,147,9,15
238,100,406,156,7,13
239,100,405,164,7,13
240,100,405,171,8,14
241,100,403,178,7,14
242,100,402,184,7,13
243,100,401,191,6,14
244,100,400,197,6,14
245,100,399,205,5,13
246,100,398,210,5,12
247,100,397,213,5,8
248,100,395,213,5,7
249,100,372,111,4,10
250,100,368,102,16,16
251,100,244,176,16,16
252,100,121,250,11,6
253,100,121,249,21,6
254,100,122,248,33,9
255,100,123,248,38,10
256,100,124,246,43,12
257,100,411,196,5,11
258,100,420,182,6,12
259,100,433,165,6,8
260,100,446,142,12,12
261,100,460,119,12,12
262,100,476,92,15,12
263,100,494,68,16,10
264,100,511,43,16,10
265,100,519,22,14,10
266,100,529,6,10,11
267,100,534,1,14,5
268,100,535,0,11,3
269,100,539,2,15,6
270,100,539,2,15,6
271,100,541,7,13,7
272,100,539,23,12,8
273,100,537,32,10,6
274,100,534,37,13,8
275,100,532,41,13,7
276,100,528,43,14,7
277,100,525,44,12,8
278,100,523,46,13,8
279,100,520,48,13,9
280,100,516,52,12,8
281,100,509,64,15,9
282,100,500,78,15,9
283,100,486,96,15,10
284,100,467,115,14,11
285,100,445,131,12,12
286,100,425,144,11,13
287,100,405,152,10,11
288,100,386,158,6,11
289,100,386,158,6,11
290,100,373,156,5,12
291,100,344,136,8,12
292,100,332,121,9,11
293,100,322,107,7,8
294,100,314,93,7,7
295,100,309,82,8,6
296,100,304,75,9,7
297,100,302,73,10,6
298,100,300,77,5,7
299,100,302,83,10,8
300,100,304,93,9,9
301,100,305,105,13,11
302,100,308,117,11,12
303,100,311,130,10,11
304,100,314,142,10,11
305,100,317,152,9,12
306,100,321,161,10,13
307,100,322,161,10,14
308,100,324,168,9,13
309,100,328,175,9,13
310,100,335,187,9,14
311,100,338,192,9,15
312,100,341,196,9,13
313,100,342,199,8,13
314,100,344,200,8,13
315,100,347,201,8,14
316,100,348,202,8,14
317,100,350,203,8,14
318,100,352,203,8,13
319,100,353,203,7,13
320,100,354,204,7,13
321,100,356,205,6,10
322,100,357,205,6,9
323,100,356,203,6,8
324,100,355,202,5,8
325,100,353,201,6,8
326,100,353,201,6,7
327,100,351,199,5,6
328,100,348,191,7,11
329,100,349,185,7,11
330,100,351,176,7,12
331,100,354,167,7,12
332,100,359,155,7,13
333,100,365,140,8,11
334,100,372,126,7,11
335,100,384,106,8,11
336,100,402,87,7,7
337,100,411,70,16,16
338,100,442,62,9,8
339,100,457,56,10,7
340,100,471,54,12,8
341,100,484,59,12,8
342,100,493,67,13,10
343,100,500,75,13,10
344,100,504,82,13,10
345,100,504,82,13,10
346,100,508,86,12,10
347,100,509,87,12,10
348,100,510,86,12,10
349,100,511,86,12,10
350,100,508,85,12,9
351,100,504,85,12,9
352,100,501,86,12,10
353,100,500,87,11,10
354,100,499,88,12,10
355,100,499,90,11,10
356,100,498,93,11,10
357,100,497,97,11,10
358,100,496,101,11,11
359,100,496,109,10,13
360,100,496,120,11,13
361,100,496,131,10,13
362,100,495,144,8,12
363,100,494,160,8,13
364,100,494,160,8,13
365,100,495,170,8,14
366,100,502,186,8,14
367,100,506,193,7,15
368,100,511,196,8,13
369,100,516,199,8,14
370,100,520,200,8,14
371,100,526,200,8,13
372,100,531,197,9,15
373,100,536,193,10,16
374,100,541,185,10,15
375,100,546,175,11,14
376,100,551,158,14,17
377,100,558,138,16,17
378,100,564,116,16,16
379,100,568,95,16,14
380,100,574,75,16,13
381,100,579,63,18,12
382,100,585,61,18,12
383,100,585,61,18,12
384,100,591,62,18,13
385,100,600,79,19,14
386,100,602,92,18,13
387,100,604,107,19,15
388,100,605,124,20,18
389,100,606,139,18,19
390,100,607,154,17,18
391,100,607,170,17,17
392,100,607,184,16,16
393,100,607,197,14,15
394,100,606,212,14,16
395,100,603,228,12,17
396,100,601,241,12,15
397,100,598,244,7,6
398,100,598,244,6,6
399,100,526,109,10,8
400,100,525,110,12,10
401,100,524,112,8,9
402,100,525,111,9,9
403,100,525,112,10,11
404,100,529,108,8,5
